origin_cluster,place_type,location_status,wikidata_qid,latitude,longitude,coordinate_source_url,captured_at_utc,review_notes
Bellshill,locality,uk,Q680984,55.8205555556,-4.02833333333,https://www.wikidata.org/wiki/Q680984,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Bexhill-on-Sea,locality,uk,Q853012,50.8416666667,0.471111111111,https://www.wikidata.org/wiki/Q853012,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Birmingham,locality,uk,Q2256,52.48,-1.9025,https://www.wikidata.org/wiki/Q2256,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Blackpool,locality,uk,Q170377,53.8166666667,-3.05,https://www.wikidata.org/wiki/Q170377,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Blackwood,locality,uk,Q880986,51.67,-3.19,https://www.wikidata.org/wiki/Q880986,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Bolton,locality,uk,Q184579,53.5783333333,-2.43,https://www.wikidata.org/wiki/Q184579,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Bracknell,locality,uk,Q783210,51.416,-0.749,https://www.wikidata.org/wiki/Q783210,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Bradford,locality,uk,Q22905,53.794,-1.751,https://www.wikidata.org/wiki/Q22905,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Bradford-on-Avon,locality,uk,Q896940,51.3469,-2.251,https://www.wikidata.org/wiki/Q896940,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Braintree,locality,uk,Q23240,51.75,0.583333333333,https://www.wikidata.org/wiki/Q23240,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Bridgend,locality,uk,Q6497774,51.5072,-3.5784,https://www.wikidata.org/wiki/Q6497774,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Bridlington,locality,uk,Q527391,54.088,-0.2004,https://www.wikidata.org/wiki/Q527391,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Brighton,locality,uk,Q131491,50.8208333333,-0.1375,https://www.wikidata.org/wiki/Q131491,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Bristol,locality,uk,Q23154,51.4536111111,-2.5975,https://www.wikidata.org/wiki/Q23154,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Brixton,district,uk,Q146690,51.4575,-0.1175,https://www.wikidata.org/wiki/Q146690,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Buckinghamshire,region,uk,Q23229,51.7666666667,-0.8,https://www.wikidata.org/wiki/Q23229,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Burnley,locality,uk,Q209096,53.7888888889,-2.24805555556,https://www.wikidata.org/wiki/Q209096,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Camberley,locality,uk,Q741400,51.335,-0.742,https://www.wikidata.org/wiki/Q741400,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Cambridge,locality,uk,Q350,52.2080555556,0.1225,https://www.wikidata.org/wiki/Q350,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Cambridgeshire,region,uk,Q23112,52.35,0,https://www.wikidata.org/wiki/Q23112,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Canterbury,locality,uk,Q29303,51.2783333333,1.0775,https://www.wikidata.org/wiki/Q29303,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Cardiff,locality,uk,Q10690,51.4816666667,-3.17916666667,https://www.wikidata.org/wiki/Q10690,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Carlisle,locality,uk,Q192896,54.8947222222,-2.93638888889,https://www.wikidata.org/wiki/Q192896,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Catford,district,uk,Q305029,51.4452,-0.0207,https://www.wikidata.org/wiki/Q305029,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Chelmsford,locality,uk,Q210985,51.7361,0.4798,https://www.wikidata.org/wiki/Q210985,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Chelsea,district,uk,Q743535,51.4875,-0.1684,https://www.wikidata.org/wiki/Q743535,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Chingford,district,uk,Q3778007,51.631,0.016,https://www.wikidata.org/wiki/Q3778007,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Cinderford,locality,uk,Q1242795,51.8225,-2.4989,https://www.wikidata.org/wiki/Q1242795,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Clydebank,locality,uk,Q996502,55.8997,-4.4006,https://www.wikidata.org/wiki/Q996502,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Colchester,locality,uk,Q184163,51.888611,0.903611,https://www.wikidata.org/wiki/Q184163,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
County Tyrone,region,uk,Q192229,54.61,-7.16,https://www.wikidata.org/wiki/Q192229,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Coventry,locality,uk,Q6225,52.4166666667,-1.51666666667,https://www.wikidata.org/wiki/Q6225,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Crawley,locality,uk,Q844908,51.1157,-0.1937,https://www.wikidata.org/wiki/Q844908,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Crouch End,district,uk,Q24502,51.5797111111,-0.123727777778,https://www.wikidata.org/wiki/Q24502,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Croydon,locality,uk,Q2213391,51.3727,-0.1099,https://www.wikidata.org/wiki/Q2213391,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Cwmaman,locality,uk,Q3365170,51.686845,-3.4422398,https://www.wikidata.org/wiki/Q3365170,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Dalmarnock,district,uk,Q5211522,55.8402,-4.21968,https://www.wikidata.org/wiki/Q5211522,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Derby,locality,uk,Q43475,52.9216666667,-1.47666666667,https://www.wikidata.org/wiki/Q43475,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Derry,locality,uk,Q163584,54.9916666667,-7.34166666667,https://www.wikidata.org/wiki/Q163584,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Dorset,region,uk,Q23159,50.8333333333,-2.33333333333,https://www.wikidata.org/wiki/Q23159,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Downpatrick,locality,uk,Q1024917,54.322,-5.703,https://www.wikidata.org/wiki/Q1024917,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Droitwich Spa,locality,uk,Q1260116,52.267,-2.153,https://www.wikidata.org/wiki/Q1260116,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Dublin,locality,outside_uk,Q1761,,,https://www.wikidata.org/wiki/Q1761,2026-08-31T16:21:38.871966+00:00,Resolved origin retained outside the UK map.
Dundee,locality,uk,Q123709,56.4605555556,-2.97,https://www.wikidata.org/wiki/Q123709,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Dunfermline,locality,uk,Q211950,56.0713888889,-3.46166666667,https://www.wikidata.org/wiki/Q211950,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Ealing,district,uk,Q83726,51.5111,-0.3058,https://www.wikidata.org/wiki/Q83726,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
East End of London,district,uk,Q739700,51.5141666667,-0.055,https://www.wikidata.org/wiki/Q739700,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
East Grinstead,locality,uk,Q1277887,51.1286111111,-0.0144444444444,https://www.wikidata.org/wiki/Q1277887,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
East Kilbride,locality,uk,Q654226,55.76667,-4.18333,https://www.wikidata.org/wiki/Q654226,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Eastbourne,locality,uk,Q208262,50.7663888889,0.286111111111,https://www.wikidata.org/wiki/Q208262,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Edinburgh,locality,uk,Q23436,55.9533333333,-3.18916666667,https://www.wikidata.org/wiki/Q23436,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Eel Pie Island,locality,uk,Q3048859,51.4452,-0.3246,https://www.wikidata.org/wiki/Q3048859,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Essex,region,uk,Q23240,51.75,0.583333333333,https://www.wikidata.org/wiki/Q23240,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Exeter,locality,uk,Q134672,50.7255555556,-3.52694444444,https://www.wikidata.org/wiki/Q134672,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Failsworth,locality,uk,Q2346848,53.5102,-2.1575,https://www.wikidata.org/wiki/Q2346848,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Falkirk,locality,uk,Q623687,55.9994444444,-3.78472222222,https://www.wikidata.org/wiki/Q623687,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Folkestone,locality,uk,Q375314,51.0791666667,1.17944444444,https://www.wikidata.org/wiki/Q375314,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Glasgow,locality,uk,Q4093,55.8611111111,-4.25,https://www.wikidata.org/wiki/Q4093,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Glastonbury,locality,uk,Q210891,51.1475,-2.7175,https://www.wikidata.org/wiki/Q210891,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Godalming,locality,uk,Q23276,51.25,-0.45,https://www.wikidata.org/wiki/Q23276,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Grangemouth,locality,uk,Q617845,56.0197222222,-3.7225,https://www.wikidata.org/wiki/Q617845,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Great Yarmouth,locality,uk,Q237253,52.6077777778,1.73305555556,https://www.wikidata.org/wiki/Q237253,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Guildford,locality,uk,Q213465,51.2354,-0.5746,https://www.wikidata.org/wiki/Q213465,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Halifax,locality,uk,Q826561,53.725,-1.863,https://www.wikidata.org/wiki/Q826561,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Hamburg,locality,outside_uk,Q1055,,,https://www.wikidata.org/wiki/Q1055,2026-08-31T16:21:38.871966+00:00,Resolved origin retained outside the UK map.
Hampshire,region,uk,Q23204,51.0575,-1.3075,https://www.wikidata.org/wiki/Q23204,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Harlow,locality,uk,Q852729,51.7833333333,0.116666666667,https://www.wikidata.org/wiki/Q852729,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Harrow,locality,uk,Q54961,51.5836,-0.3464,https://www.wikidata.org/wiki/Q54961,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Hartlepool,locality,uk,Q215752,54.6833333333,-1.21666666667,https://www.wikidata.org/wiki/Q215752,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Hatfield,locality,uk,Q19788,51.7636111111,-0.225833333333,https://www.wikidata.org/wiki/Q19788,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Hemel Hempstead,locality,uk,Q3532,51.753333,-0.448611,https://www.wikidata.org/wiki/Q3532,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Hendon,locality,uk,Q149787,51.5837,-0.2252,https://www.wikidata.org/wiki/Q149787,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Hereford,locality,uk,Q204720,52.0563888889,-2.71611111111,https://www.wikidata.org/wiki/Q204720,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Herefordshire,region,uk,Q23129,52.0833333333,-2.75,https://www.wikidata.org/wiki/Q23129,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Hertford,locality,uk,Q9681,51.795,-0.078,https://www.wikidata.org/wiki/Q9681,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
High Wycombe,locality,uk,Q64116,51.6216666667,-0.751666666667,https://www.wikidata.org/wiki/Q64116,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Hounslow,locality,uk,Q2022317,51.4668,-0.3507,https://www.wikidata.org/wiki/Q2022317,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Hoylake,locality,uk,Q2024069,53.39,-3.18,https://www.wikidata.org/wiki/Q2024069,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Huddersfield,locality,uk,Q201812,53.645,-1.77972222222,https://www.wikidata.org/wiki/Q201812,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Hunstanton,locality,uk,Q617188,52.93,0.48,https://www.wikidata.org/wiki/Q617188,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Isle of Wight,region,uk,Q9679,50.7,-1.3,https://www.wikidata.org/wiki/Q9679,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Keighley,locality,uk,Q990168,53.8666666667,-1.91666666667,https://www.wikidata.org/wiki/Q990168,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Kettering,locality,uk,Q984613,52.4,-0.733333333333,https://www.wikidata.org/wiki/Q984613,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Kilmarnock,locality,uk,Q576562,55.6116666667,-4.49444444444,https://www.wikidata.org/wiki/Q576562,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Kilsyth,locality,uk,Q1010328,55.98,-4.06,https://www.wikidata.org/wiki/Q1010328,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Kingston upon Hull,locality,uk,Q128147,53.7444444444,-0.3325,https://www.wikidata.org/wiki/Q128147,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Kirkby,locality,uk,Q2469070,53.4826,-2.892,https://www.wikidata.org/wiki/Q2469070,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Ladbroke Grove,district,uk,Q15030864,51.5171,-0.2098,https://www.wikidata.org/wiki/Q15030864,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Larne,locality,uk,Q935686,54.8516666667,-5.81333333333,https://www.wikidata.org/wiki/Q935686,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Leeds,locality,uk,Q39121,53.7975,-1.54361111111,https://www.wikidata.org/wiki/Q39121,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Leek,locality,uk,Q2070717,53.108,-2.0234,https://www.wikidata.org/wiki/Q2070717,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Leicester,locality,uk,Q83065,52.6361111111,-1.13305555556,https://www.wikidata.org/wiki/Q83065,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Leicestershire,region,uk,Q23106,52.7166666667,-1.18333333333,https://www.wikidata.org/wiki/Q23106,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Leighton Buzzard,locality,uk,Q2462645,51.9165,-0.6617,https://www.wikidata.org/wiki/Q2462645,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Leuchars,locality,uk,Q1011960,56.3814,-2.8835,https://www.wikidata.org/wiki/Q1011960,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Little Hulton,district,uk,Q6650377,53.5307,-2.4188,https://www.wikidata.org/wiki/Q6650377,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Liverpool,locality,uk,Q24826,53.4072222222,-2.99166666667,https://www.wikidata.org/wiki/Q24826,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
London,locality,uk,Q84,51.5072222222,-0.1275,https://www.wikidata.org/wiki/Q84,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Lowestoft,locality,uk,Q986007,52.48,1.75,https://www.wikidata.org/wiki/Q986007,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Luton,locality,uk,Q203889,51.8783333333,-0.414722222222,https://www.wikidata.org/wiki/Q203889,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Macclesfield,locality,uk,Q868637,53.2581,-2.1274,https://www.wikidata.org/wiki/Q868637,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Manchester,locality,uk,Q18125,53.4666666667,-2.23333333333,https://www.wikidata.org/wiki/Q18125,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Mansfield,locality,uk,Q841979,53.1435,-1.1963,https://www.wikidata.org/wiki/Q841979,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Meols,locality,uk,Q1616766,53.4014,-3.1553,https://www.wikidata.org/wiki/Q1616766,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Merthyr Tydfil,locality,uk,Q752762,51.7472222222,-3.37805555556,https://www.wikidata.org/wiki/Q752762,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Middlesbrough,locality,uk,Q171866,54.5738888889,-1.23333333333,https://www.wikidata.org/wiki/Q171866,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Middleton,locality,uk,Q2560244,53.5552,-2.18795,https://www.wikidata.org/wiki/Q2560244,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Milton Keynes,locality,uk,Q204234,52.0333333333,-0.766666666667,https://www.wikidata.org/wiki/Q204234,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Mold,locality,uk,Q1191195,53.166,-3.133,https://www.wikidata.org/wiki/Q1191195,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Moreton,locality,uk,Q1017049,51.7428,0.2188,https://www.wikidata.org/wiki/Q1017049,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Motherwell,locality,uk,Q737547,55.7891666667,-3.99555555556,https://www.wikidata.org/wiki/Q737547,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
New York City,locality,outside_uk,Q60,,,https://www.wikidata.org/wiki/Q60,2026-08-31T16:21:38.871966+00:00,Resolved origin retained outside the UK map.
Newcastle upon Tyne,locality,uk,Q1425428,54.9777777778,-1.61333333333,https://www.wikidata.org/wiki/Q1425428,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Newport,locality,uk,Q101254,51.5886111111,-2.99777777778,https://www.wikidata.org/wiki/Q101254,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Newry,locality,uk,Q269980,54.1755555556,-6.34916666667,https://www.wikidata.org/wiki/Q269980,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Norfolk,region,uk,Q23109,52.6725,0.95,https://www.wikidata.org/wiki/Q23109,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
North London,district,uk,Q734547,51.5496197,-0.1676141,https://www.wikidata.org/wiki/Q734547,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Northampton,locality,uk,Q192240,52.2333333333,-0.9,https://www.wikidata.org/wiki/Q192240,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Northern Ireland,region,uk,Q26,54.6075,-6.6925,https://www.wikidata.org/wiki/Q26,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate; region-level origins use the source entity's representative point.
Norwich,locality,uk,Q130191,52.6286111111,1.29277777778,https://www.wikidata.org/wiki/Q130191,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Notting Hill,district,uk,Q215354,51.5096,-0.2043,https://www.wikidata.org/wiki/Q215354,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Nottingham,locality,uk,Q41262,52.955,-1.14916666667,https://www.wikidata.org/wiki/Q41262,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Oldham,locality,uk,Q202628,53.5447222222,-2.11833333333,https://www.wikidata.org/wiki/Q202628,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Otley,locality,uk,Q658902,53.905,-1.687,https://www.wikidata.org/wiki/Q658902,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Oxford,locality,uk,Q34217,51.7519444444,-1.25777777778,https://www.wikidata.org/wiki/Q34217,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Paisley,locality,uk,Q211870,55.8455555556,-4.42388888889,https://www.wikidata.org/wiki/Q211870,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Peacehaven,locality,uk,Q1935259,50.8,0,https://www.wikidata.org/wiki/Q1935259,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Peckham,district,uk,Q2690524,51.4714,-0.0625,https://www.wikidata.org/wiki/Q2690524,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Perth,locality,uk,Q203000,56.3958333333,-3.43333333333,https://www.wikidata.org/wiki/Q203000,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Peterborough,locality,uk,Q172438,52.5725,-0.243055555556,https://www.wikidata.org/wiki/Q172438,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Plumstead,district,uk,Q946533,51.4869888889,0.0798111111111,https://www.wikidata.org/wiki/Q946533,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Pontypridd,locality,uk,Q1024900,51.59672,-3.33682,https://www.wikidata.org/wiki/Q1024900,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Preston,locality,uk,Q184090,53.7594444444,-2.69805555556,https://www.wikidata.org/wiki/Q184090,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Prestwich,locality,uk,Q1003559,53.5333,-2.2833,https://www.wikidata.org/wiki/Q1003559,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Ramsbottom,locality,uk,Q2736093,53.6484,-2.3169,https://www.wikidata.org/wiki/Q2736093,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Reading,locality,uk,Q161491,51.4541666667,-0.973055555556,https://www.wikidata.org/wiki/Q161491,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
Redcliffe,locality,outside_uk,Q1026184,,,https://www.wikidata.org/wiki/Q1026184,2026-08-31T16:21:38.871966+00:00,Resolved origin retained outside the UK map.
Reigate,locality,uk,Q1018418,51.2376444444,-0.205833333333,https://www.wikidata.org/wiki/Q1018418,2026-08-31T16:21:38.871966+00:00,Representative Wikidata coordinate for the reviewed origin.
