band_name,study_city_label,claimed_formation_place,origin_review_status,origin_alignment,origin_evidence_url,origin_confidence,spotify_id,spotify_name_prior,spotify_expected_name,musicbrainz_id,wikidata_id,catalogue_source,selection_source,notes,uk_population_rank,fua_code,official_fua_name,population_year,population,territorial_definition,source_dataset_url,catalogue_review_ready,band,city,spotify_name,monthly_listeners,followers,world_rank,stats_extracted_at_utc,source,source_access
Simply Red,Manchester,Manchester,reviewed,existing_catalogue,https://musicbrainz.org/artist/a9100753-f539-43cf-bcc9-579566fb512e,high,1fa0cOhromAZdq2xRA4vv8,Simply Red,Simply Red,a9100753-f539-43cf-bcc9-579566fb512e,,reused balanced 100-band catalogue,agent_addition,Formally eligible group; soul-pop editorial review.,2,UK008F,Manchester,2021,3432092,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Simply Red,Manchester,Simply Red,9097250,2960800,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Take That,Manchester,Manchester,reviewed,existing_catalogue,https://musicbrainz.org/artist/24d2505b-388c-46cc-8a64-48223ea6d78d,high,1XgFuvRd7r5g0h844A5ZUQ,Take That,Take That,24d2505b-388c-46cc-8a64-48223ea6d78d,,reused balanced 100-band catalogue,agent_addition,Formally eligible group; pop editorial review.,2,UK008F,Manchester,2021,3432092,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Take That,Manchester,Take That,6539015,1517488,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The 1975,Manchester,Wilmslow,reviewed,existing_catalogue,https://musicbrainz.org/artist/5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,high,3mIj9lX2MWuHmhNCA7LSCW,The 1975,The 1975,5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,,reused balanced 100-band catalogue,existing_shortlist,AllMusic gives Wilmslow; the frozen OECD crosswalk maps Cheshire East to Manchester FUA.,2,UK008F,Manchester,2021,3432092,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The 1975,Manchester,The 1975,18915018,8582651,493,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Chemical Brothers,Manchester,Manchester,reviewed,existing_catalogue,https://musicbrainz.org/artist/1946a82a-f927-40c2-8235-38d64f50d043,high,1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers,The Chemical Brothers,1946a82a-f927-40c2-8235-38d64f50d043,,reused balanced 100-band catalogue,agent_addition,,2,UK008F,Manchester,2021,3432092,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Chemical Brothers,Manchester,The Chemical Brothers,9143502,2435363,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Smiths,Manchester,Manchester,reviewed,existing_catalogue,https://musicbrainz.org/artist/40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,high,3yY2gUcIsjMr8hjo51PoJ8,The Smiths,The Smiths,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,,reused balanced 100-band catalogue,existing_shortlist,,2,UK008F,Manchester,2021,3432092,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Smiths,Manchester,The Smiths,22515532,8767855,367,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Stone Roses,Manchester,Manchester,reviewed,existing_catalogue,https://musicbrainz.org/artist/b5fa29f1-6c22-4321-a488-b5f363b06b06,high,1lYT0A0LV5DUfxr6doRP3d,The Stone Roses,The Stone Roses,b5fa29f1-6c22-4321-a488-b5f363b06b06,,reused balanced 100-band catalogue,existing_shortlist,,2,UK008F,Manchester,2021,3432092,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Stone Roses,Manchester,The Stone Roses,3488308,1863145,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Black Sabbath,Birmingham,Birmingham,reviewed,existing_catalogue,https://musicbrainz.org/artist/5182c1d9-c7d2-4dad-afa0-ccfeada921a8,high,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,Black Sabbath,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,,reused balanced 100-band catalogue,existing_shortlist,,3,UK002F,West Midlands urban area,2021,3135994,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Black Sabbath,Birmingham,Black Sabbath,18288641,10711277,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Dexys Midnight Runners,Birmingham,Birmingham,reviewed,existing_catalogue,https://musicbrainz.org/artist/ccce2053-7007-4c36-b1e7-f8fcf5023a12,high,4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners,Dexys Midnight Runners,ccce2053-7007-4c36-b1e7-f8fcf5023a12,,reused balanced 100-band catalogue,agent_addition,,3,UK002F,West Midlands urban area,2021,3135994,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Dexys Midnight Runners,Birmingham,Dexys Midnight Runners,7999321,384886,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Duran Duran,Birmingham,Birmingham,reviewed,existing_catalogue,https://musicbrainz.org/artist/1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,high,0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,Duran Duran,1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,,reused balanced 100-band catalogue,existing_shortlist,,3,UK002F,West Midlands urban area,2021,3135994,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Duran Duran,Birmingham,Duran Duran,15134650,3958344,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
ELO,Birmingham,Birmingham,reviewed,existing_catalogue,https://musicbrainz.org/artist/0c502791-4ee9-4c5f-9696-0602b721ff3b,high,7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,Electric Light Orchestra,0c502791-4ee9-4c5f-9696-0602b721ff3b,,reused balanced 100-band catalogue,existing_shortlist,,3,UK002F,West Midlands urban area,2021,3135994,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,ELO,Birmingham,Electric Light Orchestra,18330664,4748870,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Editors,Birmingham,Birmingham,reviewed,existing_catalogue,https://musicbrainz.org/artist/0efe858c-89e5-4e47-906a-356fa953fd6e,high,6e9wIFWhBPHLE9bXK8gtBI,Editors,Editors,0efe858c-89e5-4e47-906a-356fa953fd6e,,reused balanced 100-band catalogue,existing_shortlist,AllMusic independently records formation in Birmingham in 2002; members first met at Stafford University.,3,UK002F,West Midlands urban area,2021,3135994,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Editors,Birmingham,Editors,1241937,786142,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Judas Priest,Birmingham,Birmingham,reviewed,existing_catalogue,https://musicbrainz.org/artist/6b335658-22c8-485d-93de-0bc29a1d0349,high,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,Judas Priest,6b335658-22c8-485d-93de-0bc29a1d0349,,reused balanced 100-band catalogue,agent_addition,,3,UK002F,West Midlands urban area,2021,3135994,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Judas Priest,Birmingham,Judas Priest,4112763,4744039,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Ocean Colour Scene,Birmingham,Birmingham,reviewed,existing_catalogue,https://musicbrainz.org/artist/601d793d-7e96-4bb6-b4a6-712d5c926259,high,5vIOGcdmx1eIkq3ZtuS12U,Ocean Colour Scene,Ocean Colour Scene,601d793d-7e96-4bb6-b4a6-712d5c926259,,reused balanced 100-band catalogue,agent_addition,,3,UK002F,West Midlands urban area,2021,3135994,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Ocean Colour Scene,Birmingham,Ocean Colour Scene,606956,454701,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Moody Blues,Birmingham,Birmingham,reviewed,existing_catalogue,https://musicbrainz.org/artist/774666d2-2064-4d6c-856c-f8cda0aaf9f0,high,5BcZ22XONcRoLhTbZRuME1,The Moody Blues,The Moody Blues,774666d2-2064-4d6c-856c-f8cda0aaf9f0,,reused balanced 100-band catalogue,agent_addition,,3,UK002F,West Midlands urban area,2021,3135994,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Moody Blues,Birmingham,The Moody Blues,2129836,1500809,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Spencer Davis Group,Birmingham,Birmingham,reviewed,existing_catalogue,https://musicbrainz.org/artist/178fdfdf-e02e-4608-9b51-e53471e28a58,high,3i9hP422d2KMjaupTzBNVS,The Spencer Davis Group,The Spencer Davis Group,178fdfdf-e02e-4608-9b51-e53471e28a58,,reused balanced 100-band catalogue,agent_addition,,3,UK002F,West Midlands urban area,2021,3135994,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,The Spencer Davis Group,Birmingham,The Spencer Davis Group,1087690,317136,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
UB40,Birmingham,Birmingham,reviewed,existing_catalogue,https://musicbrainz.org/artist/7113aab7-628f-4050-ae49-dbecac110ca8,high,69MEO1AADKg1IZrq2XLzo5,UB40,UB40,7113aab7-628f-4050-ae49-dbecac110ca8,,reused balanced 100-band catalogue,existing_shortlist,,3,UK002F,West Midlands urban area,2021,3135994,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,UB40,Birmingham,UB40,9327767,2783787,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Alt-J,Leeds,Leeds,reviewed,existing_catalogue,https://musicbrainz.org/artist/fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,high,3XHO7cRUPCLOr6jwp8vsx5,alt-J,Alt-J,fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,,reused balanced 100-band catalogue,existing_shortlist,,4,UK003F,Leeds,2021,2969034,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Alt-J,Leeds,alt-J,8110938,3499216,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Chumbawamba,Leeds,Leeds,reviewed,existing_catalogue,https://musicbrainz.org/artist/7b7b1e6f-e73e-41a0-9d72-8f0b30c6992d,medium,0TcYeHEK9sBtv7xPbKhzHz,Chumbawamba,Chumbawamba,7b7b1e6f-e73e-41a0-9d72-8f0b30c6992d,,reused balanced 100-band catalogue,agent_addition,Retained provisionally in Leeds: accounts conflict between formation in Burnley and formation in the Armley squat in Leeds; exclusion does not change Leeds's ranks.,4,UK003F,Leeds,2021,2969034,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Chumbawamba,Leeds,Chumbawamba,4700579,225650,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Gang of Four,Leeds,Leeds,reviewed,existing_catalogue,https://musicbrainz.org/artist/d8661c02-f423-4d72-8044-40ff05daf7a1,high,3AmWjMXXtBJOmNGpUFSOAl,Gang Of Four,Gang of Four,d8661c02-f423-4d72-8044-40ff05daf7a1,,reused balanced 100-band catalogue,agent_addition,,4,UK003F,Leeds,2021,2969034,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Gang of Four,Leeds,Gang Of Four,469462,292732,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Kaiser Chiefs,Leeds,Leeds,reviewed,existing_catalogue,https://musicbrainz.org/artist/90218af4-4d58-4821-8d41-2ee295ebbe21,high,0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,Kaiser Chiefs,90218af4-4d58-4821-8d41-2ee295ebbe21,,reused balanced 100-band catalogue,existing_shortlist,,4,UK003F,Leeds,2021,2969034,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Kaiser Chiefs,Leeds,Kaiser Chiefs,2999896,1422089,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Nightmares on Wax,Leeds,Leeds,reviewed,existing_catalogue,https://musicbrainz.org/artist/b8c5cc4f-239f-4e02-b46f-b040b77c2030,high,4tNxq9NGKTKaX8OkZBLgf0,Nightmares On Wax,Nightmares on Wax,b8c5cc4f-239f-4e02-b46f-b040b77c2030,,reused balanced 100-band catalogue,agent_addition,,4,UK003F,Leeds,2021,2969034,OECD/EU Functional Urban Area,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,True,Nightmares on Wax,Leeds,Nightmares On Wax,1820888,556692,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
