band_name,study_city_label,claimed_formation_place,origin_review_status,selection_source,notes
Bicep,Belfast,Belfast,pending,editorial candidate,
Kneecap,Belfast,Belfast,reviewed,Wikidata and MusicBrainz,
Two Door Cinema Club,Belfast,Bangor,reviewed,Wikidata and MusicBrainz,Bangor is included in the Belfast Functional Urban Area.
And So I Watch You From Afar,Belfast,Belfast,pending,editorial candidate,
Girls Names,Belfast,Belfast,reviewed,Wikidata and MusicBrainz,
New Pagans,Belfast,Belfast,pending,editorial candidate,
The Outcasts,Belfast,Belfast,pending,editorial candidate,
Rudi,Belfast,Belfast,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
The Specials,Coventry,Coventry,reviewed,Wikidata and MusicBrainz,
The Selecter,Coventry,Coventry,reviewed,Wikidata and MusicBrainz,
The Enemy,Coventry,Coventry,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
The Primitives,Coventry,Coventry,pending,editorial candidate,
Fun Boy Three,Coventry,Coventry,reviewed,Wikidata and MusicBrainz,
The Colourfield,Coventry,Coventry,reviewed,Wikidata and MusicBrainz,
Bolt Thrower,Coventry,Coventry,reviewed,Wikidata and MusicBrainz,
Cathedral,Coventry,Coventry,reviewed,Wikidata and MusicBrainz,Explicit Spotify identifier required because the name is ambiguous.
King,Coventry,Coventry,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
Adorable,Coventry,Coventry,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
Band of Skulls,Southampton,Southampton,reviewed,Wikidata and MusicBrainz,
Delays,Southampton,Southampton,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
Creeper,Southampton,Southampton,reviewed,Wikidata and MusicBrainz,
Bury Tomorrow,Southampton,Southampton,reviewed,Wikidata and MusicBrainz,
Power Quest,Southampton,Southampton,reviewed,Wikidata and MusicBrainz,
The Men They Couldn't Hang,Southampton,Southampton,pending,editorial candidate,
Dead!,Southampton,Southampton,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
Artful Dodger,Southampton,Southampton,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
Desolated,Southampton,Southampton,pending,editorial candidate,
Our Hollow Our Home,Southampton,Southampton,pending,editorial candidate,
The Beautiful South,Hull,Kingston upon Hull,reviewed,Wikidata and MusicBrainz,
The Housemartins,Hull,Kingston upon Hull,pending,editorial candidate,
Everything but the Girl,Hull,Kingston upon Hull,reviewed,Wikidata and MusicBrainz,
Throbbing Gristle,Hull,Kingston upon Hull,reviewed,Wikidata and MusicBrainz,
Black Tongue,Hull,Kingston upon Hull,reviewed,Wikidata and MusicBrainz,
Kingmaker,Hull,Kingston upon Hull,reviewed,Wikidata and MusicBrainz,
The Paddingtons,Hull,Kingston upon Hull,pending,editorial candidate,
Red Guitars,Hull,Kingston upon Hull,pending,editorial candidate,
Scarlet,Hull,Kingston upon Hull,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
The Watersons,Hull,Kingston upon Hull,pending,editorial candidate,
Radiohead,Oxford,Abingdon-on-Thames,reviewed,Wikidata and MusicBrainz,Abingdon is included in the Oxford Functional Urban Area.
Glass Animals,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,
Foals,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,
Supergrass,Oxford,Wheatley,reviewed,Wikidata and MusicBrainz,Wheatley is included in the Oxford Functional Urban Area.
Ride,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,
Swervedriver,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,
Stornoway,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,
TTNG,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,Previously known as This Town Needs Guns.
Hurricane #1,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,
The Candyskins,Oxford,Oxford,pending,editorial candidate,
Cattle & Cane,Middlesbrough,Middlesbrough,pending,editorial candidate,
Young Rebel Set,Middlesbrough,Stockton-on-Tees,pending,editorial candidate,
The Chapman Family,Middlesbrough,Stockton-on-Tees,pending,editorial candidate,
The Young'uns,Middlesbrough,Stockton-on-Tees,pending,editorial candidate,
Mouses,Middlesbrough,Billingham,pending,editorial candidate,
Cape Cub,Middlesbrough,Middlesbrough,pending,editorial candidate,
Benefits,Middlesbrough,Teesside,pending,editorial candidate,
Collectors Club,Middlesbrough,Middlesbrough,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
Shrug,Middlesbrough,Teesside,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
The Wildcats of Kilkenny,Middlesbrough,Stockton-on-Tees,pending,editorial candidate,
Cranes,Portsmouth,Portsmouth,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
The Strange Death of Liberal England,Portsmouth,Portsmouth,pending,editorial candidate,
Kassassin Street,Portsmouth,Southsea,pending,editorial candidate,
Is Bliss,Portsmouth,Portsmouth,pending,editorial candidate,
Hallan,Portsmouth,Portsmouth,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
Crystal Tides,Portsmouth,Portsmouth,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
Torpedoes,Portsmouth,Portsmouth,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
Emptifish,Portsmouth,Portsmouth,pending,editorial candidate,
Ricky,Portsmouth,Portsmouth,pending,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.
Battery Hens,Portsmouth,Portsmouth,pending,editorial candidate,
