band_name,study_city_label,claimed_formation_place,origin_review_status,selection_source,notes,wikidata_id,wikidata_name,wikidata_formation_places,musicbrainz_id,musicbrainz_name,musicbrainz_begin_area,musicbrainz_area,musicbrainz_disambiguation,spotify_id,identity_resolution,origin_alignment,evidence_url,review_ready
Young Marble Giants,Cardiff,Cardiff,reviewed,Wikidata and MusicBrainz,,Q2164036,Young Marble Giants,Cardiff,,,,,,0tQ2Q4y9iUkKszxXyB14ZH,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q2164036,True
Mclusky,Cardiff,Cardiff,reviewed,Wikidata and MusicBrainz,,Q1761282,Mclusky,Cardiff,,,,,,3xA9AB0f4BVjsSlyQc12iE,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1761282,True
Budgie,Cardiff,Cardiff,reviewed,Wikidata and MusicBrainz,,Q508678,Budgie,Cardiff,,,,,,42RbQv212uOjyfIXECLKfR,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q508678,True
Kids in Glass Houses,Cardiff,Cardiff,reviewed,editorial candidate,,,,,a7da8d09-c406-4fdc-8cb0-affa39ffbabb,Kids in Glass Houses,Cardiff,United Kingdom,,0d630stEgFcD3GTKZPZFzY,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/a7da8d09-c406-4fdc-8cb0-affa39ffbabb,True
The Automatic,Cardiff,Cowbridge,reviewed,editorial candidate,Cowbridge FUA membership needs boundary review.,,,,afe5e238-d248-4da4-87b7-e70dfab787f6,The Automatic,Cowbridge,United Kingdom,Welsh rock band,7IZcg74X6CKzf0SfRliRrB,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/afe5e238-d248-4da4-87b7-e70dfab787f6,True
Manic Street Preachers,Cardiff,Blackwood,reviewed,editorial candidate,Blackwood FUA membership needs boundary review.,Q217025,Manic Street Preachers,Blackwood,,,,,,2uH0RyPcX7fnCcT90HFDQX,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q217025,True
Stereophonics,Cardiff,Cwmaman,reviewed,editorial candidate,Cwmaman FUA membership needs boundary review.,Q28963,Stereophonics,Cwmaman,,,,,,21UJ7PRWb3Etgsu99f8yo8,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q28963,True
Bay City Rollers,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,,Q812073,Bay City Rollers,Edinburgh,,,,,,3r9TXuXfOUxXjgYgAR0fP8,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q812073,True
Boards of Canada,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,,Q722778,Boards of Canada,Edinburgh,,,,,,2VAvhf61GgLYmC6C8anyX1,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q722778,True
Young Fathers,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,,Q8058113,Young Fathers,Edinburgh,,,,,,5mZC7ndY6oGMxJentRwsuV,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q8058113,True
Idlewild,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,,Q784088,Idlewild,Edinburgh,,,,,,1xdB9gS1NrKEYgZUEfoqIw,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q784088,True
The Exploited,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,,Q117684,The Exploited,Edinburgh,,,,,,6NB4b8lltHCjOhW7vQZkAy,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q117684,True
The Rezillos,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,,Q3269,The Rezillos,Edinburgh,,,,,,0nbaBQTlGxUPLQ07N7onwv,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q3269,True
We Were Promised Jetpacks,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,,Q1488607,We Were Promised Jetpacks,Edinburgh,,,,,,3gnrmLahFhVXRI9DA1MImH,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1488607,True
The Incredible String Band,Edinburgh,Edinburgh,reviewed,Wikidata and MusicBrainz,,Q1500510,The Incredible String Band,Edinburgh,,,,,,0tQzBYPjAardhWpGkqVdNW,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1500510,True
The Fire Engines,Edinburgh,Edinburgh,reviewed,manual identity and origin review,Spotify omits the leading article from the artist name.,,,,,,,,,3Glx297fyff7hKkl7nBrwu,manual_reviewed_spotify_id,manual_review,https://www.allmusic.com/artist/fire-engines-mn0000339713,True
Josef K,Edinburgh,Edinburgh,reviewed,manual replacement,The Waterboys formed in London; replaced with an Edinburgh-formed band.,,,,,,,,,1wAvVTxYw932BnBO5JhrXJ,manual_reviewed_spotify_id,manual_review,https://www.ltmrecordings.com/josef_k.html,True
Stiff Little Fingers,Belfast,Belfast,reviewed,Wikidata and MusicBrainz,,Q1538935,Stiff Little Fingers,Belfast,,,,,,2bt3I0VkmYuPvP57sxokab,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1538935,True
Them,Belfast,Belfast,reviewed,Wikidata and MusicBrainz,Explicit Spotify identifier required because the name is ambiguous.,Q1338638,Them,Belfast,,,,,,5BaHqGtf6UAZnHfqdPaTDA,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1338638,True
Bicep,Belfast,Belfast,reviewed,manual identity and origin review,Belfast-born duo treated as a Belfast-origin act.,Q28855240,Bicep,,,,,,,73A3bLnfnz5BoQjb4gNCga,manual_reviewed_spotify_id,manual_review,https://bicepmusic.com/about,True
Kneecap,Belfast,Belfast,reviewed,Wikidata and MusicBrainz,,Q65327538,Kneecap,Belfast,,,,,,1ZVACPeq7ccGCoUXwtafUU,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q65327538,True
Two Door Cinema Club,Belfast,Bangor,reviewed,Wikidata and MusicBrainz,Bangor is included in the Belfast Functional Urban Area.,Q777302,Two Door Cinema Club,Bangor,,,,,,536BYVgOnRky0xjsPT96zl,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q777302,True
And So I Watch You From Afar,Belfast,Belfast,reviewed,editorial candidate,,,,,0fb7d725-4dfd-45d2-944c-6ffa375a142d,And So I Watch You From Afar,Belfast,United Kingdom,Northern Irish rock band,7qKMNwlACMZOUdMG3acwst,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/0fb7d725-4dfd-45d2-944c-6ffa375a142d,True
Girls Names,Belfast,Belfast,reviewed,Wikidata and MusicBrainz,,Q5564653,Girls Names,Belfast,,,,,,4UAxwzDV5PYB11huf5Shs3,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q5564653,True
New Pagans,Belfast,Belfast,reviewed,manual identity and origin review,Official biography describes the group as Belfast-based.,,,,,,,,,6T3ilEGTNIHzq1x92GDkaK,manual_reviewed_spotify_id,manual_review,https://www.newpagans.com/about,True
The Outcasts,Belfast,Belfast,reviewed,manual identity and origin review,Explicit Belfast punk band Spotify identity.,,,,aa846724-22b9-4627-ab05-e250b69fb574,The Outcasts,Belfast,United Kingdom,Northern Ireland punk band,4DDiFKfkmzRaZEakCn1gjO,manual_reviewed_spotify_id,manual_review,https://www.ulstermuseum.org/digital-exhibitions/punk-gigs,True
Rudi,Belfast,Belfast,reviewed,manual identity and origin review,Explicit Spotify identity selected from a name-disambiguated search.,,,,02585e7d-e608-45f0-bcf2-1fc60bb7f44b,Rudi,Belfast,United Kingdom,Irish punk band,7cn9cxPh36ZnWTGXI78x55,manual_reviewed_spotify_id,manual_review,https://en.wikipedia.org/wiki/Rudi_%28band%29,True
The Specials,Coventry,Coventry,reviewed,Wikidata and MusicBrainz,,Q19057,The Specials,Coventry,,,,,,6xnvNmSzmeOE1bLKnYXKW3,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q19057,True
The Selecter,Coventry,Coventry,reviewed,Wikidata and MusicBrainz,,Q1546385,The Selecter,Coventry,,,,,,3wRksusBxJ6npu0PryYheF,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1546385,True
The Enemy,Coventry,Coventry,reviewed,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.,,,,b9a03afb-649f-4cf2-8c01-efa07710bc7c,The Enemy,Coventry,United Kingdom,UK 2000s indie band,01ZP85CNi7Y9t1e0one46k,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/b9a03afb-649f-4cf2-8c01-efa07710bc7c,True
The Primitives,Coventry,Coventry,reviewed,editorial candidate,,,,,9a407ae8-afbb-4a3a-abb1-1fab4b3c26af,The Primitives,Coventry,United Kingdom,UK indie rock band,4FPmAi3p4T3p0AsthfqHMA,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/9a407ae8-afbb-4a3a-abb1-1fab4b3c26af,True
Fun Boy Three,Coventry,Coventry,reviewed,Wikidata and MusicBrainz,,Q1473992,Fun Boy Three,,,,,,,1dmEUAQBopYUrsMnQnScWL,wikidata_exact_name,review_required,https://www.wikidata.org/wiki/Q1473992,True
The Colourfield,Coventry,Coventry,reviewed,Wikidata and MusicBrainz,,Q7726877,The Colourfield,Coventry,,,,,,06Rbwc8jaQ1d5fDPZiasE0,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q7726877,True
Bolt Thrower,Coventry,Coventry,reviewed,Wikidata and MusicBrainz,,Q662463,Bolt Thrower,Coventry,,,,,,3EbMlZ7ZKmFWPTHrLzpzvs,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q662463,True
Cathedral,Coventry,Coventry,reviewed,Wikidata and MusicBrainz,Explicit Spotify identifier required because the name is ambiguous.,Q1050878,Cathedral,Coventry,,,,,,5O7ziOtiFUyRMBJN1J4Tpv,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1050878,True
King,Coventry,Coventry,reviewed,manual identity and origin review,Explicit Love and Pride-era band identity.,,,,e6b770d2-4fb6-4416-8722-471717fdd41d,King,,United Kingdom,British mid‐80s new wave,3ckiHuEKcXHXV0QOkCdCki,manual_reviewed_spotify_id,manual_review,https://en.wikipedia.org/wiki/King_%28new_wave_band%29,True
Adorable,Coventry,Coventry,reviewed,manual identity and origin review,Explicit Coventry shoegaze band identity.,,,,022c85ab-eeed-479c-9679-a0e4b5a6a338,Adorable,Coventry,United Kingdom,,6xKL0fuDG1P7nivQtPY2fv,manual_reviewed_spotify_id,manual_review,https://www.allmusic.com/artist/adorable-mn0000599278,True
Band of Skulls,Southampton,Southampton,reviewed,Wikidata and MusicBrainz,,Q2413479,Band of Skulls,Southampton,,,,,,4ddt8PPvmWrI9mJQy1VrIG,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q2413479,True
Delays,Southampton,Southampton,reviewed,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.,,,,f86d80f3-3d2e-4450-9b0c-638152e93df3,Delays,Southampton,United Kingdom,,0NAPmlw3oOKJ3BD7qcjLdQ,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/f86d80f3-3d2e-4450-9b0c-638152e93df3,True
Creeper,Southampton,Southampton,reviewed,Wikidata and MusicBrainz,,Q23023097,Creeper,Southampton,,,,,,0nV7SiEIVtPLTSJ6NwWDGj,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q23023097,True
Bury Tomorrow,Southampton,Southampton,reviewed,Wikidata and MusicBrainz,,Q1017202,Bury Tomorrow,Southampton,,,,,,6BD4lgmnh4vy6kkCaZRDWt,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1017202,True
Power Quest,Southampton,Southampton,reviewed,Wikidata and MusicBrainz,,Q683228,Power Quest,Southampton,,,,,,0m9MRvdIdPp3cR1JkaEVip,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q683228,True
The Lounge Kittens,Southampton,Southampton,reviewed,manual replacement,The original candidate formed in London from members with mixed south-coast links.,,,,,,,,,1UWCNPK34Wf98Vtcluaxby,manual_reviewed_spotify_id,manual_review,https://www.theloungekittens.co.uk/about,True
Dead!,Southampton,Southampton,reviewed,manual identity and origin review,Formed by members who met in Southampton.,,,,6246262c-7bf2-4d18-82ac-6faf2ffe0412,DEAD!,,United Kingdom,UK rock band,2uQCQ4BmANn12eOlOfkwqF,manual_reviewed_spotify_id,manual_review,https://www.allmusic.com/artist/dead%21-mn0003455848,True
Artful Dodger,Southampton,Southampton,reviewed,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.,,,,1cfbc7d1-299c-46e6-ba4c-1facb84ba435,Artful Dodger,Southampton,United Kingdom,UK garage act,4L8MIM7AXmq6jb0tRix4JT,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/1cfbc7d1-299c-46e6-ba4c-1facb84ba435,True
Desolated,Southampton,Southampton,pending,editorial candidate,,,,,d742a140-8510-46e7-9a10-f3127abc2a8f,Desolated,Southampton,United Kingdom,UK Hardcore,,musicbrainz_exact_name_missing_spotify,exact,https://musicbrainz.org/artist/d742a140-8510-46e7-9a10-f3127abc2a8f,False
Our Hollow Our Home,Southampton,Southampton,reviewed,editorial candidate,,,,,03210c24-e652-40e3-bdec-16888faf2b9d,"Our Hollow, Our Home",Southampton,United Kingdom,,6zrSK4adBQJaCJuhGNKJEl,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/03210c24-e652-40e3-bdec-16888faf2b9d,True
The Beautiful South,Hull,Kingston upon Hull,reviewed,Wikidata and MusicBrainz,,Q1757677,The Beautiful South,Kingston upon Hull,,,,,,4fomCZiFUMX73KJ0YQ0V90,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1757677,True
The Housemartins,Hull,Kingston upon Hull,reviewed,editorial candidate,,,,,e7516564-6f1e-4adc-a245-e481d56c2d9b,The Housemartins,Kingston upon Hull,United Kingdom,,77D38RDgCtlYNLpayStftL,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/e7516564-6f1e-4adc-a245-e481d56c2d9b,True
Everything but the Girl,Hull,Kingston upon Hull,reviewed,Wikidata and MusicBrainz,,Q313779,Everything but the Girl,Kingston upon Hull,,,,,,13ccXrK7AmXb4TddMkE7jy,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q313779,True
Throbbing Gristle,Hull,Kingston upon Hull,reviewed,Wikidata and MusicBrainz,,Q1165655,Throbbing Gristle,Kingston upon Hull,,,,,,1UYhxPY1oqFUg1HfF8nV3k,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1165655,True
Black Tongue,Hull,Kingston upon Hull,reviewed,Wikidata and MusicBrainz,,Q19689005,Black Tongue,Kingston upon Hull,,,,,,5vTCEZ15eybRnoqUAra4Ys,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q19689005,True
Kingmaker,Hull,Kingston upon Hull,reviewed,Wikidata and MusicBrainz,,Q6412791,Kingmaker,Kingston upon Hull,,,,,,11AkBmwCjqWISY2MRhlhhM,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q6412791,True
The Paddingtons,Hull,Kingston upon Hull,reviewed,editorial candidate,,,,,160d505d-0930-47e5-9093-b7efd64c8b8d,The Paddingtons,Kingston upon Hull,United Kingdom,,15dpP4ak7Z35TvysdicaUr,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/160d505d-0930-47e5-9093-b7efd64c8b8d,True
Red Guitars,Hull,Kingston upon Hull,pending,editorial candidate,,,,,9be15d7e-1a45-4706-a339-fc48f2a9cb6d,Red Guitars,Kingston upon Hull,United Kingdom,,,musicbrainz_exact_name_missing_spotify,exact,https://musicbrainz.org/artist/9be15d7e-1a45-4706-a339-fc48f2a9cb6d,False
Scarlet,Hull,Kingston upon Hull,reviewed,editorial candidate,Explicit Spotify identifier required because the name is ambiguous.,,,,2ed49b25-b9ce-4bcd-ad4b-459756f6c45d,Scarlet,Kingston upon Hull,United Kingdom,UK based female vocal duo Cheryl Parker & Jo Youle,17slL8goxemQvfDtqeEavh,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/2ed49b25-b9ce-4bcd-ad4b-459756f6c45d,True
The Watersons,Hull,Kingston upon Hull,reviewed,manual identity and origin review,Hull folk group.,,,,37a0f1c5-a2e2-449c-8d28-e0287aabb5ea,The Watersons,,United Kingdom,English folk group,59w4wGMXlt4HULBSTVxRAY,manual_reviewed_spotify_id,manual_review,https://mainlynorfolk.info/watersons/biography/,True
Radiohead,Oxford,Abingdon-on-Thames,reviewed,Wikidata and MusicBrainz,Abingdon is included in the Oxford Functional Urban Area.,Q44190,Radiohead,Abingdon-on-Thames,,,,,,4Z8W4fKeB5YxbusRsdQVPb,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q44190,True
Glass Animals,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,,Q16839267,Glass Animals,Oxford,,,,,,4yvcSjfu4PC0CYQyLy4wSq,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q16839267,True
Foals,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,,Q728958,Foals,Oxford,,,,,,6FQqZYVfTNQ1pCqfkwVFEa,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q728958,True
Supergrass,Oxford,Wheatley,reviewed,Wikidata and MusicBrainz,Wheatley is included in the Oxford Functional Urban Area.,Q1120684,Supergrass,Wheatley,,,,,,0sHeX8oQ6o7xic3wMf4NBU,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q1120684,True
Ride,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,,Q4371,Ride,Oxford,,,,,,0WPY9nnBy01s5QOt4o4oQX,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q4371,True
Swervedriver,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,,Q924292,Swervedriver,Oxford,,,,,,0Sd7X8SxWV0AyDLbvd4uEu,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q924292,True
Stornoway,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,,Q956521,Stornoway,Oxford,,,,,,1UzKSuyOqKgUupcNNEtnF1,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q956521,True
TTNG,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,Previously known as This Town Needs Guns.,,,,544559db-c6c4-45d6-8435-d224e4f696e9,TTNG,Oxford,United Kingdom,,,musicbrainz_exact_name_missing_spotify,exact,https://musicbrainz.org/artist/544559db-c6c4-45d6-8435-d224e4f696e9,False
Hurricane #1,Oxford,Oxford,reviewed,Wikidata and MusicBrainz,,Q477403,Hurricane #1,Oxford,,,,,,6vMDsKUbY5Rs1oG27dAUIi,wikidata_exact_name,exact,https://www.wikidata.org/wiki/Q477403,True
The Candyskins,Oxford,Oxford,reviewed,manual identity review,Spotify biography identifies the Oxford band.,,,,e22f62ae-c3b7-419e-b9c0-9958f0f97854,The Candyskins,Oxford,United Kingdom,,4o0ptlsLWeQDDMutHwPA20,manual_reviewed_spotify_id,manual_review,https://open.spotify.com/artist/4o0ptlsLWeQDDMutHwPA20,True
Cattle & Cane,Middlesbrough,Middlesbrough,reviewed,manual identity and origin review,AllMusic gives Middlesbrough as formation place.,,,,,,,,,6a1PrMzNmhNE8HrO8burHc,manual_reviewed_spotify_id,manual_review,https://www.allmusic.com/artist/cattle-cane-mn0003092536,True
Young Rebel Set,Middlesbrough,Stockton-on-Tees,reviewed,editorial candidate,,,,,7b2aeb3f-c51f-4b35-8f38-54bdbab7a8a9,Young Rebel Set,Stockton-on-Tees,United Kingdom,English indie rock band,3tJb7sqk201WZ0bT0pJxeM,musicbrainz_exact_name_with_spotify,exact,https://musicbrainz.org/artist/7b2aeb3f-c51f-4b35-8f38-54bdbab7a8a9,True
The Chapman Family,Middlesbrough,Stockton-on-Tees,pending,editorial candidate,,,,,fed965be-1b9d-432b-9954-7f7e1b720a79,The Chapman Family,Stockton-on-Tees,United Kingdom,UK alternative rock band,,musicbrainz_exact_name_missing_spotify,exact,https://musicbrainz.org/artist/fed965be-1b9d-432b-9954-7f7e1b720a79,False
The Young'uns,Middlesbrough,Stockton-on-Tees,reviewed,manual identity and origin review,Stockton is within the Middlesbrough Functional Urban Area.,,,,852cc088-62ca-4b15-b36c-6c5e854f7b5a,The Young’uns,,United Kingdom,UK folk trio,1yyXgzBSMpwYqd2GZN4OCS,manual_reviewed_spotify_id,manual_review,https://theyounguns.co.uk/about,True
Mouses,Middlesbrough,Billingham,reviewed,manual identity and origin review,Billingham is within the Middlesbrough Functional Urban Area.,,,,,,,,,4zCHl1iYtjNLcbAAmuPhKX,manual_reviewed_spotify_id,manual_review,https://narcmagazine.com/interview-mouses-2/,True
Cape Cub,Middlesbrough,Middlesbrough,reviewed,manual identity and origin review,North-east act retained from the Middlesbrough editorial review.,,,,,,,,,4xbJS00sHh5wBd5nYgsk8z,manual_reviewed_spotify_id,manual_review,https://open.spotify.com/artist/4xbJS00sHh5wBd5nYgsk8z,True
Benefits,Middlesbrough,Teesside,reviewed,manual identity and origin review,Official biography describes the group as Teesside agitators.,,,,e80c1c9f-fbc7-410a-9c51-b0362eeca38b,Benefits,Middlesbrough,United Kingdom,Teesside post-punks,5nrO8X72nFeyu3sqYIkskQ,manual_reviewed_spotify_id,manual_review,https://www.benefitstheband.com/copy-of-home,True
